,ynn,ynn_timeseries,red,sparsity,closest
0,0.8,1.0,243,245,498
1,0.8,1.0,307,312,500
2,0.6,1.0,96,96,500
3,0.19999999999999996,1.0,3,4,500
4,0.19999999999999996,1.0,49,49,500
5,0.8,1.0,14,17,500
6,0.6,1.0,225,226,500
7,0.8,1.0,76,77,500
8,0.19999999999999996,1.0,85,85,500
9,0.3999999999999999,1.0,14,15,500
10,0.3999999999999999,1.0,43,46,500
11,0.6,1.0,48,50,500
12,0.19999999999999996,1.0,151,151,500
13,0.19999999999999996,1.0,40,40,500
14,0.6,1.0,9,9,500
15,0.6,1.0,20,22,500
16,0.3999999999999999,1.0,12,12,500
17,0.6,1.0,239,243,500
18,0.19999999999999996,1.0,249,251,500
19,0.19999999999999996,1.0,168,170,500
