,method,validity,ynn_timeseries,ynn_timeseries_std,sparsity,sparsity_std,dis,dis_std
0,TS_Evo,1.0,1.0,0.0,0.30810000000000004,0.28726397268018145,0.13923596126323087,0.12257301530510947
1,Wachter,0.4,0.8000000000000002,1.1102230246251565e-16,1.0,0.0,0.08396339970694507,0.053102229629974365
2,NG_DBN,0.25,0.9199999999999999,0.09797958971132709,1.0,0.0,1.4525240289671921,0.4340558841404899
3,NG_GradCam,0.0,0.9800000000000001,0.059999999999999984,0.0020000000000000005,4.336808689942018e-19,0.0006590883674466736,0.0008039477774303537
